04-utils,4.000-openssh.sh,openssh-8.0p1.tar.gz
04-utils,4.010-libtasn.sh,libtasn1-4.14.tar.gz
04-utils,4.020-p11kit.sh,p11-kit-0.23.16.1.tar.gz
04-utils,4.030-make-ca.sh,make-ca-1.4.tar.xz
04-utils,4.040-wget.sh,wget-1.20.3.tar.gz
04-utils,4.060-curl.sh,curl-7.65.3.tar.xz
04-utils,4.070-nettle.sh,nettle-3.5.1.tar.gz
04-utils,4.080-json-c.sh,json-c-0.13.1.tar.gz
04-utils,4.090-libgpg-error.sh,libgpg-error-1.36.tar.bz2
04-utils,4.100-libgcrypt.sh,libgcrypt-1.8.5.tar.bz2
04-utils,4.110-cracklib.sh,cracklib-2.9.7.tar.bz2
04-utils,4.120-libassuan.sh,libassuan-2.5.3.tar.bz2
04-utils,4.130-sudo.sh,sudo-1.8.29.tar.gz
04-utils,4.140-libksba.sh,libksba-1.3.5.tar.bz2
04-utils,4.150-libunistring.sh,libunistring-0.9.10.tar.xz
04-utils,4.160-gnutls.sh,gnutls-3.6.9.tar.xz
04-utils,4.170-gpgme.sh,gpgme-1.13.1.tar.bz2
04-utils,4.180-haveged.sh,haveged-1.9.2.tar.gz
04-utils,4.190-iptables.sh,iptables-1.8.3.tar.bz2
04-utils,4.210-libtirpc.sh,libtirpc-1.1.4.tar.bz2
04-utils,4.220-BerkeleyDB.sh,db-5.3.28.tar.gz
04-utils,4.230-linux-pam.sh,Linux-PAM-1.3.1.tar.xz
04-utils,4.231-libcap-pam.sh,libcap-2.27.tar.xz
04-utils,4.240-shadow.sh,shadow-4.7.tar.xz
04-utils,4.245-openssh.sh,openssh-8.0p1.tar.gz
04-utils,4.245-systemd.sh,systemd-243.tar.gz,systemd-man-pages-243.tar.xz
04-utils,4.250-liboauth.sh,liboauth-1.0.3.tar.gz,
04-utils,4.260-libpwquality.sh,libpwquality-1.4.0.tar.bz2
04-utils,4.265-sqlite.sh,sqlite-autoconf-3310100.tar.gz
04-utils,4.270-nspr.sh,nspr-4.21.tar.gz
04-utils,4.290-nss.sh,nss-3.45.tar.gz
04-utils,4.280-unzip.sh,unzip60.tar.gz
04-utils,4.550-zip.sh,zip30.tar.gz
04-utils,4.330-cryptsetup.sh,cryptsetup-2.0.6.tar.xz
04-utils,4.340-lsof.sh,lsof_4.91.tar.gz
04-utils,4.350-time.sh,time-1.9.tar.gz
04-utils,4.360-tree.sh,tree-1.8.0.tgz
04-utils,4.370-which.sh,which-2.21.tar.gz
04-utils,4.380-PCRE.sh,pcre-8.43.tar.bz2
04-utils,4.390-libxml2.sh,libxml2-2.9.9.tar.gz
04-utils,4.400-libxslt.sh,libxslt-1.1.33.tar.gz
04-utils,4.410-docbook-nons.sh,docbook-xsl-nons-1.79.2.tar.bz2
04-utils,4.420-glib260.sh,glib-2.60.6.tar.xz
04-utils,4.440-pciutils.sh,pciutils-3.6.2.tar.xz
04-utils,4.450-bind-utils.sh,bind-9.14.5.tar.gz
04-utils,4.470-libevent.sh,libevent-2.1.11-stable.tar.gz
04-utils,4.490-rsync.sh,rsync-3.1.3.tar.gz
04-utils,4.500-traceroute.sh,traceroute-2.1.0.tar.gz
04-utils,4.520-parted.sh,parted-3.2.tar.xz
04-utils,4.530-dosfstools.sh,dosfstools-4.1.tar.xz
04-utils,4.540-autoconf.sh,autoconf-2.13.tar.gz
04-utils,4.600-libuv.sh,libuv-v1.31.0.tar.gz
04-utils,4.610-libarchive.sh,libarchive-3.4.0.tar.gz
04-utils,4.620-cmake.sh,cmake-3.15.2.tar.gz
04-utils,4.630-npth.sh,npth-1.6.tar.bz2
04-utils,4.640-pinentry.sh,pinentry-1.1.0.tar.bz2
04-utils,4.650-gnupg.sh,gnupg-2.2.17.tar.bz2
04-utils,4.660-libssh2.sh,libssh2-1.9.0.tar.gz
04-utils,4.670-llvm.sh,llvm-8.0.1.src.tar.xz,cfe-8.0.1.src.tar.xz,compiler-rt-8.0.1.src.tar.xz
04-utils,4.680-rust.sh,rustc-1.35.0-src.tar.gz
04-utils,4.690-ICU.sh,icu4c-64_2-src.tgz
04-utils,4.700-python.sh,Python-2.7.16.tar.xz
04-utils,4.710-mutt.sh,mutt-1.12.1.tar.gz
04-utils,4.720-tmux.sh,tmux-2.9a.tar.gz
04-utils,4.730-screen.sh,screen-4.6.2.tar.gz
04-utils,4.740-git.sh,git-2.23.0.tar.xz
